anti_trump_supporters,anti-trump-supporters,trumpsupporter,since,hate,call,party,oh,maybe,getting,two,away,sign,enough,talking,word,either,political,hell,talk,week,child
pro_vote,pro-vote,vote,votejoebiden,ballot,votedonaldtrump,party,cast,change,candidate,electionday,democracy,mail,bidenharris,voteblue,line,blue,enough,save,electoralcollege,choice,suppress
covid_stats,covid-stats,covid,positive,test,tested,hospital,negative,pandemic,response,death,doctor,diagnosis,treatment,die,infected,dead,getting,relief,sick,testing,patient
vp_candidates,vp-candidates,kamalaharris,mikepence,ballot,nancypelosi,votejoebiden,ticket,vicepresident,bidenharris,amendment,senator,socialist,woman,berniesanders,blue,runningmate,primary,voteblue,future,running,county
debates,debates,debate,presidential,virtual,moderator,commission,second,mikepence,rule,test,tested,positive,candidate,stage,negative,week,change,interrupt,performance,refuse,mute
covid_blame_trump,covid-blame-trump,trump,fault,tweet,response,base,policy,doctor,behavior,action,failure,word,presidency,attack,head,supporter,pandemic,mouth,team,comment,claim
past_candidates,past-candidates,barackobama,hillaryclinton,administration,bush,economy,pandemic,speech,cage,presidency,policy,took,former_president,built,war,crime,corrupt,berniesanders,lost,unemployment,yr
hunter_biden,hunter-biden,hunterbiden,story,twitter,post,report,video,tweet,corruption,business,fake,article,scandal,jack,read,evidence,investigation,censorship,foxnews,claim,criminal
trump_rally_drama,trump-rally-drama,campaign,negative,event,bus,running,money,manager,bidenharris,suspend,attack,official,test,presidential,pull,smear,anthonyfauci,tested,donation,candidate,part
register_to_vote,register-to-vote,voting,party,ballot,bidenharris,mail,candidate,friend,line,either,choice,third,votedonaldtrump,registered,democracy,blue,number,ticket,green,record,electionday
racism_blm,racism-blm,black,racist,woman,white,community,bill,crime,whitesupremacy,racism,blacklivesmatter,aint,cube,folk,minority,group,ice,shelf,supporting,prison,calling
covid_policy,covid-policy,mask,wear,wearing,mandate,without,socialdistancing,distance,fun,social,hand,science,wore,protect,photo,sick,stay,anthonyfauci,stupid,lockdown,safe
truth_and_lies,truth-and-lies,lie,truth,lying,liar,corruption,lied,spreading,spread,cheat,corrupt,mouth,propaganda,TRUE,hate,claim,word,FALSE,doctor,tired,fake
voter_supression_fraud,voter-supression-fraud,voter,fraud,suppression,undecided,ballot,democratic,deserve,intimidation,turnout,swing,registered,threatening,court,votedonaldtrump,registration,number,among,turn,intimidate,organization
supreme_court_nominee,supreme-court-nominee,question,answer,court,real,tough,supremecourt,serious,refuse,whether,reporter,interview,moderator,wont,press,deserve,issue,whitesupremacy,minute,judge,softball
economy,economy,tax,pay,money,cut,return,paying,rich,dollar,class,income,middle,raise,making,increase,business,healthcare,bank,government,bill,federal
foreign_affairs,foreign-affairs,china,russia,business,deal,money,bank,communist,secret,corrupt,travel,dealing,sold,foreign,trade,selling,billion,sell,dollar,ban,corruption
media,media,cnn,foxnews,msnbc,abc,fox,nbc,fakenews,watching,cover,network,coverage,wsj,talking,covering,speech,maga,interview,air,channel,truth
trump_distrust_science,trump-distrust-science,believe,hard,word,god,stupid,truly,cannot,science,enough,liar,TRUE,idiot,honestly,supposed,lying,trust,belief,mouth,dumb,seriously
vote_biden,vote-biden,life,save,lost,saved,risk,death,human,votejoebiden,real,service,whole,rest,thousand,die,secret,depend,saving,health,danger,cost
polling,polling,poll,lead,ahead,winning,hillaryclinton,number,leading,national,polling,race,close,fake,showing,swing,margin,landslide,week,electionday,result,behind
healthcare_for_all,healthcare-for-all,plan,pandemic,health,healthcare,administration,platinum,economy,policy,cube,economic,healthcareplan,ice,insurance,part,read,condition,national,talk,energy,term
fact_check,fact-check,fact,check,claim,TRUE,truth,FALSE,change,evidence,straight,opinion,checker,based,checked,fun,real,actual,stimulus,statement,racist,proven
town_halls,town-halls,town,hall,nbc,abc,rating,watching,event,sign,viewer,network,dueling,msnbc,hour,tune,air,undecided,virtual,watched,giving,beat
federal_stimulous_packages,federal-stimulous-packages,help,god,stimulus,russia,bill,nancypelosi,hurt,working,understand,save,community,helping,wont,check,elect,lord,nation,deal,seek,send
vote_trump,vote-trump,world,leader,real,free,rest,war,end,nation,death,god,laughing,peace,democracy,pandemic,worst,biggest,lead,living,stock,economy
trump_covid_diagnosis,trump-covid-diagnosis,whitehouse,event,walter,reed,return,staff,hospital,administration,doctor,tested,public,house,official,positive,negative,leave,superspreader,intelligence,medical,infected
covid_hoax,covid-hoax,virus,death,spread,deadly,pandemic,economy,control,dead,infected,case,spreading,hoax,blame,die,kill,responsible,flu,thousand,sick,shut
breaking_news,breaking-news,news,real,breaking,report,abc,network,outlet,fox,nbc,source,cycle,channel,conference,fakenews,fake,watching,politics,local,coverage,negative
trump_rally_infections ,trump-rally-infections,rally,hold,maga,supporter,superspreader,crowd,event,video,trumpsupporter,holding,trumprally,michigan,thousand,watching,car,attend,outside,speech,huge,cult